40.113957, -88.224927, Siebel
40.114759, -88.227331, North Quad
40.112768, -88.227339, Cross Street With Caution Vehicles May Not Stop
40.110029, -88.227219, Illini Union North
40.108895, -88.227158, Illini Union South
40.109035, -88.228131, Altgeld
40.108436, -88.227874, Henry Administration
40.107583, -88.227836, English
40.106621, -88.227823, Lincoln Hall
40.105889, -88.228097, Gregory
40.106184, -88.227190, Foellinger
40.107163, -88.226578, Davenport
40.108433, -88.226481, Noyes
40.108007, -88.223473, Krannert
40.107776, -88.225352, RAL
40.105310, -88.226060, Observatory
40.102824, -88.227203, Bell Tower
40.103653, -88.228217, DKH
40.103074, -88.225122, Funk
40.102495, -88.221941, Plant Sciences
40.104323, -88.231939, Armory
40.102116, -88.229872, Education
40.092733, -88.220400, Vet-Med
40.103810, -88.234611, SDRP
40.103010, -88.235265, Weston
40.102255, -88.235093, Snyder
40.102054, -88.236681, Scott
40.101627, -88.237856, Bousfield
40.102530, -88.237792, Hopkins
40.103745, -88.238114, Wassaja
40.103958, -88.237401, Nugent
40.101466, -88.236164, ARC
40.096985, -88.235917, State Farm
40.100678, -88.226422, Ag Engineering
40.096255, -88.218414, Idea Garden
40.094029, -88.218453, Arboretum Northwest
40.092596, -88.216873, Arboretum South
40.093562, -88.215978, Arboretum East
40.092933, -88.217998, Japan House
40.099635, -88.220403, PAR
40.099197, -88.221009, FAR
40.101562, -88.220031, Grove
40.104138, -88.221281, Allen
40.104163, -88.219734, LAR
40.107394, -88.220691, Spurlock
40.109283, -88.221339, ISR
40.111715, -88.227018, Bardeen
40.116215, -88.227393, Beckman
40.114988, -88.223954, Campbell
40.112859, -88.223568, Public Safety
40.108049, -88.228999, Bookstore
40.106605, -88.229010, YMCA